PID;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add
527302110;85;13175;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;6;1978;1988
527358140;105;11751;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;6;1977;
527358200;85;10625;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;SFoyer;7;6;1974;
527368020;;7500;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;2Story;7;5;2000;
527402200;;11241;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;7;1970;
527402250;;12537;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1971;2008
527403020;65;8450;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1968;
527404120;70;8400;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;5;1970;
527425090;70;10500;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;5;1971;
527427230;26;5858;Pave;NA;Slightly irregular;Lvl;AllPub;FR2;Gtl;North Ames;Norm;Normal;TwnhsE;1Story;7;5;1999;
527451180;21;1680;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Briardale;Norm;Normal;Twnhs;2Story;6;5;1971;
527451330;21;1680;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Briardale;Norm;Normal;Twnhs;2Story;5;5;1971;
527451410;21;1680;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Briardale;Norm;Normal;Twnhs;2Story;6;5;1971;
527452190;53;4043;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northpark Villa;Norm;Normal;TwnhsE;1Story;6;5;1977;
527453130;24;2280;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Northpark Villa;Norm;Normal;Twnhs;2Story;6;6;1975;
527453150;24;2280;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Northpark Villa;Norm;Normal;Twnhs;1Story;7;6;1975;
527454200;24;2280;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northpark Villa;Norm;Normal;Twnhs;2Story;6;5;1978;
528108120;102;12858;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;2Story;9;5;2009;2010
528112020;98;11478;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;8;5;2007;2008
528120060;83;10159;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;9;5;2009;2010
528120090;94;12883;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;8;5;2009;2010
528120100;95;12182;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;7;5;2005;
528120120;90;11520;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northridge Heights;PosN;Normal;1Fam;1Story;9;5;2005;
528138020;79;14122;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;8;5;2005;2006
528138060;70;10171;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;7;5;2004;
528150070;100;12919;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;1Fam;1Story;9;5;2009;2010
528175010;44;6371;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;TwnhsE;1Story;7;5;2009;2010
528176010;110;14300;Pave;NA;Regular;HLS;AllPub;Inside;Mod;Northridge Heights;Norm;Normal;1Fam;1Story;9;5;2003;2004
528176070;105;13650;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Northridge Heights;Norm;Normal;1Fam;2Story;8;5;2002;
528180070;61;7658;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;TwnhsE;1Story;9;5;2005;
528181050;41;7132;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;TwnhsE;1Story;8;5;2006;
528188120;36;2628;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northridge Heights;Norm;Normal;Twnhs;2Story;7;5;2003;
528218150;100;18494;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;1Story;6;5;2005;
528228285;43;3203;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bloomington Heights;Norm;Normal;TwnhsE;1Story;7;5;2006;
528228440;43;3182;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bloomington Heights;Norm;Normal;TwnhsE;1Story;8;5;2004;2005
528231020;67;13300;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;SLvl;7;5;2004;
528240070;;7851;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;2002;
528240130;63;8577;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;7;5;2004;
528250100;;7750;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;SLvl;7;5;2000;
528292020;;9505;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Gilbert;Norm;Normal;1Fam;2Story;7;5;2001;
528328100;108;14774;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Northridge;Norm;Normal;1Fam;2Story;9;5;1999;
528344070;60;17433;Pave;NA;Moderately Irregular;Lvl;AllPub;CulDSac;Gtl;Northridge;Norm;Normal;1Fam;2Story;8;5;1998;
528358010;59;10593;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge;Norm;Normal;1Fam;1Story;7;5;1996;
528363130;98;12256;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Northridge;Norm;Normal;1Fam;2Story;8;5;1994;1995
528382020;92;11764;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Northridge;Norm;Normal;1Fam;2Story;8;7;1999;2007
528382030;58;16770;Pave;NA;Moderately Irregular;Lvl;AllPub;CulDSac;Gtl;Northridge;Norm;Normal;1Fam;2Story;7;5;1998;
528386040;56;14720;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Northridge;Norm;Normal;1Fam;1.5Fin;8;5;1995;1996
528445060;73;8987;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;8;5;2005;2006
528456160;92;9215;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;7;5;2009;2010
528458070;72;8640;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;2Story;7;5;2009;
528458110;75;9000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;8;5;2008;
528477080;100;12552;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Somerset;Norm;Normal;1Fam;2Story;7;5;2004;2005
528480090;84;10440;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Somerset;Norm;Normal;1Fam;1Story;6;5;2005;
531367050;76;10142;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;2Story;7;5;2004;
531369060;70;11920;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;2Story;7;5;2004;
531380080;;8880;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;2Story;7;5;1994;2002
531451110;50;8012;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;TwnhsE;1Story;6;5;1980;
531451280;70;11218;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;2Story;6;5;1992;
531452020;55;7892;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;TwnhsE;1Story;6;5;1979;
531452050;50;7175;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;TwnhsE;1Story;6;5;1984;
531452180;;9453;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Sawyer West;RRNe;Normal;1Fam;2Story;7;7;1993;2003
531453010;81;9672;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Sawyer West;Norm;Normal;1Fam;1Story;6;5;1984;1985
531453040;70;8400;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer West;Norm;Normal;1Fam;2Story;6;6;1980;1981
531477050;70;9800;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Sawyer West;Adjacent to feeder street;Normal;1Fam;1Story;5;5;1920;1950
532351140;68;8930;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Adjacent to East-West Railroad;Normal;Duplex;1.5Fin;6;5;1978;
532354090;88;11782;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;SFoyer;5;7;1961;1995
532376160;65;8450;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Sawyer;Adjacent to East-West Railroad;Normal;1Fam;1Story;5;8;1965;2009
532377060;;9819;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Normal;1Fam;1Story;5;5;1967;
532377100;75;7500;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Sawyer;Adjacent to feeder street;Normal;1Fam;1Story;5;5;1963;
532378110;;6897;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Sawyer;Norm;Normal;1Fam;1Story;5;8;1962;2010
532479070;39;15410;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Sawyer;RRNe;Normal;1Fam;1Story;6;6;1974;2002
533130020;107;10186;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge;Norm;Normal;1Fam;2Story;7;5;1992;
533130130;85;13143;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northridge;Norm;Normal;1Fam;2Story;8;5;1993;
533130160;88;11134;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northridge;Norm;Normal;1Fam;2Story;8;5;1992;1993
533205060;25;4835;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Somerset;Norm;Normal;TwnhsE;1Story;7;5;2004;2005
533208090;39;3515;Pave;Pave;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;TwnhsE;2Story;7;5;2004;
533210060;30;3215;Pave;Pave;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;TwnhsE;2Story;7;5;2004;
533212010;30;3182;Pave;Pave;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;TwnhsE;2Story;7;5;2004;2005
533212020;24;2544;Pave;Pave;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;Twnhs;2Story;7;5;2004;2005
533212060;24;2544;Pave;Pave;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;Twnhs;2Story;6;5;2005;
533213030;;4403;Pave;NA;Moderately Irregular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;7;5;2009;
533221090;;2117;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;Twnhs;2Story;6;5;2000;
533221110;;2980;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Somerset;Norm;Normal;TwnhsE;2Story;6;5;2000;
533223020;24;2572;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Somerset;Norm;Normal;Twnhs;2Story;7;5;1999;
533223100;;2403;Pave;NA;Slightly irregular;Lvl;AllPub;FR2;Gtl;Somerset;Norm;Normal;TwnhsE;2Story;7;5;2003;
533238045;57;12853;Pave;Pave;Slightly irregular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;8;5;2010;
533244030;68;7379;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;2Story;8;5;2000;
533253060;30;4420;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Greens;Norm;Normal;TwnhsE;1Story;8;5;1980;
533253210;40;3880;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Greens;Norm;Normal;Twnhs;1Story;8;6;1978;
533352170;;13517;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Sawyer;Adjacent to East-West Railroad;Normal;1Fam;2Story;6;8;1976;2005
534102025;80;8000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Somerset;Norm;Normal;1Fam;1Story;7;5;2002;
534129040;;10456;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;6;1967;
534151175;80;10791;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;2Story;6;5;1993;
534152050;;10603;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;7;1977;2001
534152070;;18837;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1.5Fin;6;5;1978;
534152100;80;10421;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;2Story;7;5;1988;
534176060;78;9360;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;1Story;6;7;1972;2006
534176230;80;9600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Norm;Normal;1Fam;2Story;6;6;1971;
534202160;80;9600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1966;
534251320;;9790;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Northwest Ames;Adjacent to feeder street;Normal;1Fam;1Story;6;5;1963;
534276360;77;9320;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;5;1959;
534401110;90;9900;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1966;
534401140;88;9680;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1967;
534403360;;10600;Pave;Pave;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;SLvl;6;5;1964;
534403410;;14112;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;SLvl;5;7;1964;
534425310;80;8800;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;SFoyer;6;7;1963;
534427010;98;13260;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;Duplex;1Story;5;6;1962;2001
534430080;68;9717;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1950;1996
534431050;68;9724;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1.5Fin;5;7;1952;2002
534431070;120;17360;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1.5Fin;6;6;1949;1950
534450180;50;7207;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1Story;5;7;1958;2008
534451150;55;5350;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Brookside;Norm;Normal;1Fam;1Story;3;2;1940;1966
534475100;80;9920;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1954;
534476260;80;9600;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;SLvl;6;6;1955;1972
534479320;78;7800;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1954;
535101020;75;11380;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;SFoyer;6;8;1966;2008
535106190;80;11600;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to feeder street;Normal;Duplex;2Story;5;5;1960;
535125010;;19900;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;PosA;Normal;1Fam;1Story;7;5;1970;1989
535126040;137;16492;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;PosA;Normal;1Fam;1Story;6;6;1966;2002
535152010;70;8267;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to feeder street;Normal;Duplex;1Story;5;5;1958;
535152050;70;8197;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;7;5;2003;2009
535152130;;8050;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1959;
535152150;70;10552;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1959;
535152250;70;8400;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1957;
535153070;73;8760;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;6;1959;
535154050;;12160;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1959;
535175070;73;9300;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to feeder street;Normal;1Fam;1Story;5;5;1960;
535175180;87;10725;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;5;1959;
535179020;80;10032;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;5;1959;
535180130;60;8382;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1.5Fin;4;5;1956;
535302080;60;10950;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1952;
535302200;119;10895;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1955;
535304060;70;13587;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;2fmCon;1Story;5;5;1958;
535304180;68;7922;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1953;2007
535325400;65;7898;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;4;7;1920;1994
535327140;60;7200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1955;2007
535350030;85;10200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1954;2003
535350040;74;5868;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1956;2000
535353190;78;17503;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1.5Fin;6;5;1948;1950
535377090;64;6979;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;Duplex;SFoyer;6;5;1980;
535401080;;9830;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1959;2006
535425010;96;11275;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;PosN;Normal;1Fam;SLvl;7;7;1967;2007
535450210;60;8064;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1.5Fin;6;8;1948;2004
535453070;75;7500;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1959;1994
535454070;71;8520;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;4;1952;
535456110;60;7200;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;7;1951;2000
535457010;87;10000;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;6;1962;
535457090;81;7635;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;5;6;1960;
535476350;80;9760;Pave;NA;Regular;Lvl;AllPub;Inside;Mod;North Ames;Norm;Normal;1Fam;1Story;6;7;1963;1984
535477020;70;7700;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;PosN;Normal;1Fam;2Story;6;5;1966;
902102100;60;4800;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;4;5;1900;1954
902104060;55;8800;Pave;Grvl;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;4;7;1910;2004
902106130;56;4485;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1Story;5;7;1920;1950
902106140;56;8960;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1Story;5;6;1927;1950
902110090;69;5805;Pave;Grvl;Regular;Bnk;AllPub;Inside;Mod;Old Town;Norm;Normal;1Fam;1Story;5;7;1957;
902125080;60;5790;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;2Story;3;6;1915;1950
902125160;47;4608;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1Story;4;6;1945;1950
902128170;60;7200;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;1Story;5;7;1940;1992
902206040;50;5500;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;5;7;1929;2001
902206130;50;6900;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;1.5Fin;6;7;1938;2000
902206220;69;11851;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;7;1948;2009
902206240;;8239;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;6;1920;1962
902207130;68;9656;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;1Story;2;2;1923;1970
902207140;60;8520;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;1Story;6;8;1928;2003
902305110;60;9600;Pave;Grvl;Regular;Lvl;AllPub;Corner;Gtl;Old Town;Norm;Normal;1Fam;2Story;8;9;1900;2003
902327040;60;10800;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Adjacent to arterial street;Normal;1Fam;1.5Fin;5;6;1915;1950
902329030;50;9000;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Old Town;Norm;Normal;1Fam;2Story;8;9;1890;2002
